# Function comes from Intel's documentation:
#
# CHAPTER 5 INSTRUCTION SET REFERENCE, V-Z 5.1 TERNARY BIT VECTOR LOGIC TABLE
#
# Excerpts:
#
# The three input bit source data will be denoted with the capital letters: A,
# B, C; where A represents a bit from the first source operand (also the
# destination operand), B and C represent a bit from the 2nd and 3rd source
# operands.
#
# Each expression consists of either a unary or binary boolean operator and
# associated operands. Each binary boolean operator is expressed in lowercase
# letters, and operands concatenated after the logic operator. The unary
# operator ‘not’ is expressed using ‘!’.  Additionally, the conditional
# expression “A?B:C” expresses a result returning B if A is set, returning C
# otherwise.
#
# A binary boolean operator is followed by two operands, e.g. andAB. For a
# compound binary expression that contain commutative components and comprising
# the same logic operator, the 2nd logic operator is omitted and three operands
# can be concatenated in sequence, e.g. andABC. When the 2nd operand of the
# first binary boolean expres- sion comes from the result of another boolean
# expression, the 2nd boolean expression is concatenated after the uppercase
# operand of the first logic expression, e.g. norBnandAC. When the result is
# independent of an operand, that operand is omitted in the logic expression,
# e.g. zeros or norCB.
#
# The 3-input expression “majorABC” returns 0 if two or more input bits are 0,
# returns 1 if two or more input bits are 1. The 3-input expression “minorABC”
# returns 1 if two or more input bits are 0, returns 0 if two or more input
# bits are 1.
#
# Note:
# 
# I replaced three-argument functions with binary functions.
#
# Here is my attempt to express functions major and minor with basic functors.
#
#   A B C | majorABC | minorABC
#   0 0 0 | 0        | 1
#   0 0 1 | 0        | 1
#   0 1 0 | 0        | 1
#   0 1 1 | 1        | 0
#   1 0 0 | 0        | 1
#   1 0 1 | 1        | 0
#   1 1 0 | 1        | 0
#   1 1 1 | 1        | 0
#
#   majorABC = A?orBC:andBC
#   minorABC = A?norBC:nandBC = !A?orBC:andBC  # my parser accepts it

00 FALSE
### 01 norABC
01 norAorBC
02 andCnorBA
03 norBA
04 andBnorAC
05 norCA
### 06 norAxnorBC -> simplified
06 and!AxorBC
07 norAandBC
### 08 norAnandBC -> simplified
08 and!AandBC
09 norAxorBC
0a andC!A
### 0b C?!A:norBA -> simplified
0b and!AnandB!C
0c andB!A
### 0d B?!A:norAC
0d and!Anand!BC
### 0e norAnorBC -> simplified
0e xor!AandBC
0f !A
10 andAnorBC
11 norCB
12 norBxnorAC
13 norBandAC
14 norCxnorBA
15 norCandBA
16 A?norBC:xorBC
### 17 minorABC
17 !A?orBC:andBC
18 A?norBC:andBC
19 A?norBC:xnorBC
1a A?norBC:C
1b C?!A:!B
1c A?norBC:B
1d B?!A:!C
1e xorAorBC
1f nandAorBC
### 20 norBnandAC -> simplified
20 andAand!BC
21 norBxorAC
22 andC!B
23 C?!B:norBA
24 B?norAC:andAC
### 25 B?norAC:xnorAC -> simplified
25 A?and!BC:!C
26 B?norAC:C
27 C?!B:!A
28 andCxorBA
29 C?xorBA:norBA
2a andCnandBA
2b C?nandBA:norBA
2c B?!A:andAC
2d B?!A:xnorAC
2e B?!A:C
### 2f C?nandBA:!A -> simplified
2f or!Aand!BC
30 andA!B
31 A?!B:norBC
32 norBnorAC
33 !B
34 B?norAC:A
35 A?!B:!C
36 xorBorAC
37 nandBorAC
38 A?!B:andBC
39 A?!B:xnorBC
3a A?!B:C
3b C?nandBA:!B
3c xorBA
3d C?xorBA:nandBA
3e A?!B:orBC
3f nandBA
40 norCnandBA
41 norCxorBA
42 C?norBA:andBA
43 C?norBA:xnorBA
44 andB!C
45 B?!C:norAC
46 C?norBA:B
47 B?!C:!A
48 andBxorAC
49 B?xorAC:norAC
4a C?!A:andBA
4b B?xorAC:!A
4c andBnandAC
4d B?nandAC:norAC
4e C?!A:B
4f B?nandAC:!A
50 andA!C
51 A?!C:norBC
52 C?norBA:A
53 A?!C:!B
